Rectangular array version:
{228, 255, 122}, {228, 254, 120}, {228, 254, 118}, {229, 253, 117}, 
{229, 253, 115}, {230, 253, 114}, {230, 252, 112}, {230, 252, 111}, 
{231, 252, 109}, {231, 251, 108}, {232, 251, 106}, {232, 251, 105}, 
{233, 250, 103}, {233, 250, 102}, {233, 249, 100}, {234, 249,  99}, 
{234, 249,  97}, {235, 248,  96}, {235, 248,  94}, {236, 248,  93}, 
{236, 247,  91}, {236, 247,  90}, {237, 247,  88}, {237, 246,  87}, 
{238, 246,  85}, {238, 245,  84}, {239, 245,  82}, {239, 245,  81}, 
{239, 244,  79}, {240, 244,  78}, {240, 244,  76}, {241, 243,  75}, 
{241, 243,  73}, {241, 243,  72}, {242, 242,  70}, {242, 242,  69}, 
{243, 242,  67}, {243, 241,  66}, {244, 241,  64}, {244, 240,  63}, 
{244, 240,  61}, {245, 240,  60}, {245, 239,  58}, {246, 239,  57}, 
{246, 239,  55}, {247, 238,  54}, {247, 238,  52}, {247, 238,  51}, 
{248, 237,  49}, {248, 237,  48}, {249, 236,  46}, {249, 236,  45}, 
{250, 236,  43}, {250, 235,  42}, {250, 235,  40}, {251, 235,  39}, 
{251, 234,  37}, {252, 234,  36}, {252, 234,  34}, {252, 233,  33}, 
{253, 233,  31}, {253, 232,  30}, {254, 232,  28}, {254, 232,  27}, 
{255, 231,  25}, {255, 231,  25}, {255, 230,  25}, {255, 229,  24}, 
{255, 229,  24}, {255, 228,  23}, {255, 227,  23}, {255, 227,  23}, 
{255, 226,  22}, {255, 225,  22}, {255, 225,  21}, {255, 224,  21}, 
{255, 223,  21}, {255, 223,  20}, {255, 222,  20}, {255, 221,  19}, 
{255, 221,  19}, {255, 220,  18}, {255, 219,  18}, {255, 219,  18}, 
{255, 218,  17}, {255, 217,  17}, {255, 216,  16}, {255, 216,  16}, 
{255, 215,  16}, {255, 214,  15}, {255, 214,  15}, {255, 213,  14}, 
{255, 212,  14}, {255, 212,  14}, {255, 211,  13}, {255, 210,  13}, 
{255, 210,  12}, {255, 209,  12}, {255, 208,  12}, {255, 208,  11}, 
{255, 207,  11}, {255, 206,  10}, {255, 206,  10}, {255, 205,   9}, 
{255, 204,   9}, {255, 204,   9}, {255, 203,   8}, {255, 202,   8}, 
{255, 202,   7}, {255, 201,   7}, {255, 200,   7}, {255, 200,   6}, 
{255, 199,   6}, {255, 198,   5}, {255, 198,   5}, {255, 197,   5}, 
{255, 196,   4}, {255, 196,   4}, {255, 195,   3}, {255, 194,   3}, 
{255, 194,   3}, {255, 193,   2}, {255, 192,   2}, {255, 192,   1}, 
{255, 191,   1}, {255, 190,   1}, {255, 190,   0}, {255, 189,   0}, 
