Rectangular array version:
{  0,   0,   0}, {  9,   0,  10}, { 18,   0,  21}, { 28,   0,  31}, 
{ 37,   0,  42}, { 46,   0,  53}, { 56,   0,  63}, { 65,   0,  74}, 
{ 74,   0,  85}, { 84,   0,  95}, { 93,   0, 106}, {102,   0, 117}, 
{112,   0, 127}, {119,   0, 136}, {120,   0, 137}, {122,   0, 138}, 
{123,   0, 140}, {124,   0, 141}, {126,   0, 142}, {127,   0, 144}, 
{128,   0, 145}, {129,   0, 146}, {131,   0, 148}, {132,   0, 149}, 
{133,   0, 150}, {135,   0, 152}, {130,   0, 153}, {119,   0, 155}, 
{109,   0, 156}, { 98,   0, 157}, { 87,   0, 159}, { 77,   0, 160}, 
{ 66,   0, 161}, { 55,   0, 163}, { 45,   0, 164}, { 34,   0, 165}, 
{ 23,   0, 167}, { 13,   0, 168}, {  2,   0, 169}, {  0,   0, 173}, 
{  0,   0, 177}, {  0,   0, 181}, {  0,   0, 185}, {  0,   0, 189}, 
{  0,   0, 193}, {  0,   0, 197}, {  0,   0, 201}, {  0,   0, 205}, 
{  0,   0, 209}, {  0,   0, 213}, {  0,   0, 217}, {  0,   0, 221}, 
{  0,   9, 221}, {  0,  18, 221}, {  0,  28, 221}, {  0,  37, 221}, 
{  0,  46, 221}, {  0,  56, 221}, {  0,  65, 221}, {  0,  74, 221}, 
{  0,  84, 221}, {  0,  93, 221}, {  0, 102, 221}, {  0, 112, 221}, 
{  0, 119, 221}, {  0, 122, 221}, {  0, 125, 221}, {  0, 127, 221}, 
{  0, 130, 221}, {  0, 133, 221}, {  0, 135, 221}, {  0, 138, 221}, 
{  0, 141, 221}, {  0, 143, 221}, {  0, 146, 221}, {  0, 149, 221}, 
{  0, 151, 221}, {  0, 153, 219}, {  0, 155, 215}, {  0, 156, 211}, 
{  0, 157, 207}, {  0, 159, 203}, {  0, 160, 199}, {  0, 161, 195}, 
